      1 2.0,"2019-09-30 23:43:38.000000","2019-09-30 23:48:37.000000",5.0,0.87,1.0,N,234.0,224.0,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
      1 2.0,"2019-09-30 23:43:31.000000","2019-09-30 23:48:33.000000",5.0,1.3,1.0,N,234.0,79.0,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
      1 2.0,"2019-09-30 23:43:24.000000","2019-09-30 23:52:03.000000",1.0,1.56,1.0,N,234.0,230.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
      1 2.0,"2019-09-30 23:43:19.000000","2019-09-30 23:43:53.000000",1.0,0.0,2.0,N,234.0,234.0,1.0,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
      1 2.0,"2019-09-30 23:43:04.000000","2019-09-30 23:46:17.000000",1.0,0.45,1.0,N,234.0,137.0,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
      1 2.0,"2019-09-30 23:42:58.000000","2019-09-30 23:47:42.000000",3.0,1.35,1.0,N,234.0,186.0,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
      1 2.0,"2019-09-30 23:42:56.000000","2019-09-30 23:57:58.000000",1.0,3.93,1.0,N,234.0,239.0,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
      1 2.0,"2019-09-30 23:42:46.000000","2019-09-30 23:45:56.000000",1.0,0.61,1.0,N,234.0,186.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
      1 2.0,"2019-09-30 23:42:23.000000","2019-09-30 23:48:17.000000",1.0,1.23,1.0,N,234.0,246.0,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
      1 2.0,"2019-09-30 23:41:00.000000","2019-09-30 23:49:14.000000",1.0,1.77,1.0,N,162.0,234.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
      1 2.0,"2019-09-30 23:40:57.000000","2019-09-30 23:49:58.000000",5.0,1.88,1.0,N,234.0,162.0,1.0,8.5,0.5,0.5,1.7,0.0,0.3,14.0,2.5
      1 2.0,"2019-09-30 23:40:52.000000","2019-09-30 23:54:25.000000",1.0,2.91,1.0,N,234.0,48.0,1.0,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
      1 2.0,"2019-09-30 23:40:28.000000","2019-09-30 23:48:19.000000",5.0,1.97,1.0,N,234.0,170.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
      1 2.0,"2019-09-30 23:40:14.000000","2019-09-30 23:47:41.000000",1.0,1.57,1.0,N,48.0,234.0,1.0,7.5,0.5,0.5,1.13,0.0,0.3,12.43,2.5
      1 2.0,"2019-09-30 23:40:01.000000","2019-09-30 23:41:49.000000",1.0,0.65,1.0,N,79.0,234.0,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
      1 2.0,"2019-09-30 23:39:51.000000","2019-10-01 00:05:29.000000",1.0,6.16,1.0,N,234.0,256.0,1.0,22.0,0.5,0.5,7.74,0.0,0.3,33.54,2.5
      1 2.0,"2019-09-30 23:39:46.000000","2019-09-30 23:42:06.000000",1.0,0.54,1.0,N,234.0,186.0,1.0,4.0,0.5,0.5,1.95,0.0,0.3,9.75,2.5
      1 2.0,"2019-09-30 23:39:14.000000","2019-09-30 23:46:14.000000",1.0,1.21,1.0,N,234.0,68.0,2.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
      1 2.0,"2019-09-30 23:38:55.000000","2019-09-30 23:46:59.000000",1.0,1.42,1.0,N,158.0,234.0,1.0,7.5,0.5,0.5,1.0,0.0,0.3,12.3,2.5
      1 2.0,"2019-09-30 23:38:44.000000","2019-09-30 23:42:24.000000",3.0,0.8,1.0,N,234.0,68.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
      1 2.0,"2019-09-30 23:38:27.000000","2019-09-30 23:57:00.000000",1.0,5.44,1.0,N,234.0,145.0,1.0,18.0,0.5,0.5,2.0,0.0,0.3,23.8,2.5
      1 2.0,"2019-09-30 23:38:20.000000","2019-09-30 23:51:12.000000",1.0,2.25,1.0,N,234.0,4.0,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
