Dance The Night (From Barbie The Album),Dua Lipa,127408954,67,33
Hits Different,Taylor Swift,68616963,67,30
I Know - PR1SVX Edit,"Kanii and  PR1ISVX",1,67,30
Columbia,Quevedo,58149378,67,11
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,67,8
Ella Baila Sola,"Eslabon Armado and  Peso Pluma",418,67,8
Thinkin    B,Morgan Wallen,125917280,66,12
Love Again,The Kid Laroi,147538971,66,11
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey and  Taylor Swift",0,66,11
LADY GAGA,"Gabito Ballesteros and  Junior H and  Peso Pluma",0,65,42
Mine (Taylor's Version),Taylor Swift,36912123,65,17
REMIX EXCLUSIVO,Feid,117206995,65,15
WHERE SHE GOES,Bad Bunny,303236322,65,11
Tormenta (feat. Bad Bunny),"Gorillaz and  Bad Bunny",0,64,38
Ain   t Tha,Morgan Wallen,88791109,64,36
Moonlight,Kali Uchis,256483385,64,17
TRUSTFALL,P!nk,134255790,64,15
Miracle (with Ellie Goulding),"Calvin Harris and  Ellie Goulding",638,64,8
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo and  Mari Fernandez",29,63,91
Like Crazy,Jimin,363369738,63,36
Novidade na   ,"Mc Livinho and  DJ Matt D",72,63,35
Karma (feat. Ice Spice),"Taylor Swift and  Ice Spice",0,62,58
Like Crazy (English Version),Jimin,173627354,62,39
Take Two,BTS,118482347,62,38
POLARIS - Remix,"Feid and  Mora and  Saiko and  Quevedo",99,62,37
Mejor Que Yo,"Mambo Kingz and  DJ Luian and  Anuel Aa",1,62,12
Fr  gil (feat. Grupo Front,"Yahritza Y Su Esencia and  Grupo Frontera",212,61,11
Double Fantasy (with Future),"The Weeknd and  Future",0,60,50
Baby Don't Hurt Me,"David Guetta and  Anne-Marie and  Coi Leray",810,60,12
Erro Gostoso - Ao Vivo,Simone Mendes,153454328,59,80
Hummingbird (Metro Boomin & James Blake),"James Blake and  Metro Boomin",1,59,25
Set Me Free Pt.2,Jimin,168448603,59,12
            ,YOASOBI,143573775,57,37
Heaven,Niall Horan,144584800,57,33
un x100to,"Bad Bunny and  Grupo Frontera",251,57,27
Di Que Si,"Grupo Marca Registrada and  Grupo Frontera",37,57,6
Overdrive,Post Malone,14780425,56,35
LLYLM,ROSAL ,124988687,56,19
Everything I Love,Morgan Wallen,95623148,56,15
Sial,Mahalini,166570053,56,12
TULUM,"Peso Pluma and  Grupo Frontera",197,56,11
El Azul,"Junior H and  Peso Pluma",62,56,10
Tattoo,Loreen,201660859,55,12
Don't ever say love me (feat. RM of BTS),"RM and  Colde",0,54,37
Die For You - Remix,"Ariana Grande and  The Weeknd",16,53,44
Born With A Beer In My Hand,Morgan Wallen,34450974,53,36
Devil Don   ,Morgan Wallen,32526947,53,9
Last Night,Morgan Wallen,429829812,52,15
MIENTRAS ME CURO DEL CORA,Karol G,206399629,52,15
vampire,Olivia Rodrigo,140003974,51,31
Enchanted (Taylor's Version),Taylor Swift,39578178,51,15
Curtains,Ed Sheeran,39893489,50,32
Un Finde | CROSSOVER #2,"Big One and  FMK and  Ke personajes",56,50,28
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,50,19
Back To December (Taylor's Version),Taylor Swift,39228929,50,12
Chemical,Post Malone,172825906,50,12
Man Made A Bar (feat. Eric Church),"Morgan Wallen and  Eric Church",0,50,12
   98 Braves,Morgan Wallen,56533272,49,26
Say Yes To Heaven,Lana Del Rey,127567540,49,11
SORRY NOT SORRY,"Tyler and  The Creator",0,48,37
Never Felt So Alone,Labrinth,117747907,44,38
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey and  Suga",4,43,19
Daylight,David Kushner,387570742,Minor,0
Flowers,Miley Cyrus,1316855716,Major,0
track_name,artist(s)_name,streams,danceability_%,liveness_%
