track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,134,E,Minor,81,53,72,51,0,12,5
LAGUNAS,"Jasiel Nu  ez and  Peso P",2,2023,6,22,58,18,184,116,B,Major,77,79,62,33,1,15,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,121,G,Major,65,49,78,0,0,17,4
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Taiu and  Milo j",2,2023,2,8,893,38,88,120,F,Minor,84,96,71,18,0,34,17
VAGABUNDO,"Sebastian Yatra and  Manuel Turizo and  Be  ",3,2023,5,12,1094,8,203,127,B,Minor,82,89,85,4,0,23,6
LUNA,"Junior H and  Peso Pluma",2,2023,6,22,201,11,74,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris and  Ellie Goulding",2,2023,3,10,5120,48,638,143,A,Major,64,31,87,4,4,8,4
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,1,2023,1,2,1783,27,430977451,127,A,Minor,80,74,77,36,0,11,4
Novo Balan ,"Veigh and  Bvga Beatz and  Supernova Ent and  Prod Malax",4,2023,5,19,26,1,66,124,D#,Minor,84,65,50,67,0,13,6
QUEMA,"Sog and  Ryan Castro and  Peso Pluma",3,2023,7,13,437,3,208,97,,Major,79,92,89,5,0,6,5
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,128,A,Minor,81,90,77,1,0,9,5
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,122,,Major,78,70,81,57,0,10,5
Nosso Quadro,"Ana Castela and  AgroPlay",2,2023,2,2,894,9,72,160,A,Major,69,61,71,33,0,31,20
Un Finde | CROSSOVER #2,"Big One and  FMK and  Ke personajes",3,2023,4,4,561,5,56,192,B,Major,50,85,52,11,0,28,6
PRC,"Natanael Cano and  Peso Pluma",2,2023,1,23,961,26,15,138,G,Minor,78,89,83,10,0,12,5
            ,YOASOBI,1,2023,4,12,356,16,143573775,166,C#,Major,57,84,94,11,0,37,9
Fin de Semana,"Oscar Maydon and  Junior H",2,2023,1,13,592,14,30,98,,Major,70,37,54,6,0,9,8
Cheques,Shubh,1,2023,5,19,67,8,47956378,90,E,Minor,74,36,63,26,0,27,5
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,146,B,Minor,50,67,89,0,0,19,8
POLARIS - Remix,"Feid and  Mora and  Saiko and  Quevedo",4,2023,6,8,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
Acr  s,Shakira,1,2023,5,11,955,29,123124076,144,B,Major,75,35,48,84,0,10,12
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G and  Peso Pluma",2,2023,3,30,681,10,26,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin and  Coi Leray",2,2023,6,2,332,5,19,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii and  Kaliii",2,2023,3,17,1197,13,171,155,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H and  Eden Mu  ",2,2023,5,13,262,5,109,129,G#,Major,70,42,43,78,0,11,3
Pi  man De ,"Semicenk and  Do  u ",2,2023,6,2,185,3,33,98,A#,Minor,73,45,62,28,0,13,13
FLOWER,JISOO,1,2023,3,31,839,18,232896922,124,A,Minor,84,64,39,3,0,11,4
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,107,D,Major,78,39,53,30,0,11,6
Karma (feat. Ice Spice),"Taylor Swift and  Ice Spice",2,2023,5,26,588,0,0,90,G#,Major,62,7,62,6,0,58,6
Las Morras,"BLESSD and  Peso Pluma",2,2023,4,4,291,8,1,133,A,Minor,78,90,84,31,0,7,4
